Semester,Session,Batch,Roll No.,Assignment,Midterm,Ori Online Participation,Online Participation,Ori Group Project,Group Project,COURSEWORK,Alternative Assessment 01,Alternative Assessment 02,FINALS,TOTAL MARKS,GRADE,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,Total Attendance,Attendance Rate
1,2021/2022,9,PDS448,9.0,12,7,7,18,18,46.0,17,14,31,77.0,A-,0,1,1,1,1,0,1,1,1,1,1,1,1,1,12,85.7
1,2021/2022,9,PDS449,8.5,19,10,10,15,15,52.5,16,17,33,85.5,A,1,1,1,1,1,1,1,0,1,1,1,1,1,1,13,92.9
1,2021/2022,9,PDS450,6.5,15,5,5,16,16,42.5,12,13,25,67.5,B,1,1,1,1,0,1,1,1,1,1,1,1,1,0,12,85.7
1,2021/2022,9,PDS451,9.0,14,9,9,15,15,47.0,15,13,28,75.0,A-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,100.0
1,2021/2022,9,PDS452,8.0,20,10,10,17,17,55.0,18,15,33,88.0,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,100.0
1,2021/2022,9,PDS453,8.0,14,10,10,16,16,48.0,9,13,22,70.0,B+,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,100.0
1,2021/2022,9,PDS454,8.0,19,10,10,15,15,52.0,16,12,28,80.0,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,100.0
1,2021/2022,9,PDS455,7.5,20,10,10,17,17,54.5,18,12,30,84.5,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,100.0
1,2021/2022,9,PDS456,9.0,17,10,10,15,15,51.0,18,15,33,84.0,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,100.0
1,2021/2022,9,PDS457,9.0,14,10,10,14,14,47.0,18,15,33,80.0,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,100.0
1,2021/2022,9,PDS458,8.0,17,10,10,15,15,50.0,17,14,31,81.0,A,1,1,1,1,1,1,1,1,0,1,1,1,1,1,13,92.9
1,2021/2022,9,PDS459,7.0,17,10,10,18,18,52.0,15,10,25,77.0,A-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,100.0
1,2021/2022,9,PDS460,9.0,20,10,10,17,17,56.0,17,18,35,91.0,A+,1,1,1,1,0,1,1,0,1,0,0,1,1,1,10,71.4
1,2021/2022,9,PDS461,8.0,13,10,10,18,18,49.0,16,15,31,80.0,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,100.0
1,2021/2022,9,PDS462,7.0,16,10,10,14,14,47.0,15,10,25,72.0,B+,1,1,1,1,0,0,1,0,1,1,1,1,1,0,10,71.4
1,2021/2022,9,PDS463,0.0,14,2,2,0,0,16.0,0,0,0,16.0,F,1,0,0,1,0,1,1,0,0,0,0,0,0,0,4,28.6
1,2021/2022,9,PDS464,8.0,15,4,4,15,15,42.0,16,10,26,68.0,B,1,1,1,1,0,1,1,1,1,1,1,1,1,1,13,92.9
1,2021/2022,9,PDS465,9.0,16,9,9,14,14,48.0,14,13,27,75.0,A-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,100.0
1,2021/2022,9,PDS466,8.0,12,8,8,15,15,43.0,15,12,27,70.0,B+,0,1,1,0,0,1,1,0,1,1,1,1,1,1,10,71.4
1,2021/2022,9,PDS467,8.5,13,8,8,15,15,44.5,16,16,32,76.5,A-,0,1,1,1,1,1,1,0,0,1,1,1,1,0,10,71.4
1,2021/2022,9,PDS468,0.0,10,0,0,0,0,10.0,0,0,0,10.0,F,1,0,0,1,0,1,1,0,0,0,0,0,0,0,4,28.6
1,2021/2022,9,PDS469,8.0,14,10,10,17,17,49.0,13,14,27,76.0,A-,1,1,0,0,1,0,1,0,1,0,1,1,1,1,9,64.3
1,2021/2022,9,PDS470,7.0,16,4,4,18,18,45.0,12,13,25,70.0,B+,1,1,1,1,1,1,1,0,1,1,1,1,1,1,13,92.9
1,2021/2022,9,PDS471,7.0,17,10,10,18,18,52.0,12,12,24,76.0,A-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,100.0
1,2021/2022,9,PDS472,9.0,18,10,10,15,15,52.0,18,16,34,86.0,A,1,1,1,0,1,1,1,1,1,1,1,1,1,1,13,92.9
1,2021/2022,9,PDS473,10.0,19,10,10,17,17,56.0,17,15,32,88.0,A,0,1,1,1,1,1,0,1,0,1,1,0,1,1,10,71.4
1,2021/2022,9,PDS474,8.5,15,10,10,14,14,47.5,15,8,23,70.5,B+,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,100.0
1,2021/2022,9,PDS475,8.0,18,10,10,18,18,54.0,16,10,26,80.0,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,100.0
1,2021/2022,9,PDS476,9.0,11,6,6,15,15,41.0,14,10,24,65.0,B,0,0,1,0,1,1,1,1,1,1,1,1,1,1,11,78.6
1,2021/2022,9,PDS477,8.0,18,10,10,14,14,50.0,17,14,31,81.0,A,1,1,1,1,1,1,1,1,1,1,1,1,1,0,13,92.9
1,2021/2022,9,PDS478,9.0,13,10,10,17,17,49.0,11,10,21,70.0,B+,1,0,1,1,1,1,1,1,1,1,1,1,1,1,13,92.9
1,2021/2022,9,PDS479,8.5,18,10,10,18,18,54.5,14,15,29,83.5,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,100.0
1,2021/2022,9,PDS480,9.0,17,10,10,17,17,53.0,16,15,31,84.0,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,100.0
1,2021/2022,9,PDS481,10.0,16,10,10,14,14,50.0,13,8,21,71.0,B+,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,100.0
1,2021/2022,9,PDS482,10.0,17,10,10,14,14,51.0,18,17,35,86.0,A,1,1,1,1,1,1,1,1,1,1,1,1,0,1,13,92.9
1,2021/2022,9,PDS483,8.0,14,10,10,18,18,50.0,15,15,30,80.0,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,100.0
1,2021/2022,9,PDS484,8.0,15,10,10,14,14,47.0,12,13,25,72.0,B+,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,100.0
1,2021/2022,9,PDS485,9.0,15,6,6,17,17,47.0,14,0,14,61.0,B-,1,1,1,1,0,1,1,0,0,1,0,0,0,0,7,50.0
1,2021/2022,9,PDS486,9.0,17,10,10,15,15,51.0,19,16,35,86.0,A,1,1,1,1,1,1,1,1,1,1,1,1,1,0,13,92.9
1,2021/2022,9,PDS487,7.5,20,10,10,17,17,54.5,18,16,34,88.5,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,100.0
1,2021/2022,9,PDS488,7.0,17,10,10,17,17,51.0,13,13,26,77.0,A-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,100.0
1,2021/2022,9,PDS489,10.0,18,10,10,18,18,56.0,18,16,34,90.0,A+,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,100.0
1,2021/2022,9,PDS490,9.5,14,10,10,18,18,51.5,15,10,25,76.5,A-,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,100.0
1,2021/2022,9,PDS491,9.0,16,10,10,16,16,51.0,14,16,30,81.0,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,100.0
1,2021/2022,9,PDS492,8.5,19,10,10,17,17,54.5,15,16,31,85.5,A,1,1,1,1,0,1,1,1,1,1,1,1,1,1,13,92.9
1,2021/2022,9,PDS493,9.0,15,10,10,14,14,48.0,17,15,32,80.0,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,100.0
1,2021/2022,9,PDS494,7.0,14,10,10,18,18,49.0,13,8,21,70.0,B+,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,100.0
1,2021/2022,9,PDS495,7.0,16,8,8,15,15,46.0,15,10,25,71.0,B+,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,100.0
1,2021/2022,9,PDS496,7.0,16,10,10,18,18,51.0,18,14,32,83.0,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,100.0
1,2021/2022,9,PDS497,9.0,16,10,10,16,16,51.0,16,14,30,81.0,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,100.0
1,2021/2022,9,PDS498,7.5,18,9,9,18,18,52.5,10,10,20,72.5,B+,1,1,1,1,1,1,1,1,1,1,1,0,1,1,13,92.9
1,2021/2022,9,PDS499,8.0,20,10,10,17,17,55.0,15,15,30,85.0,A,1,1,1,1,1,0,1,1,1,1,1,1,1,0,12,85.7
1,2021/2022,9,PDS500,8.0,19,10,10,17,17,54.0,17,16,33,87.0,A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,14,100.0
1,2021/2022,9,PDS501,8.0,14,10,10,18,18,50.0,15,11,26,76.0,A-,0,0,1,1,1,0,1,1,1,1,1,1,1,1,11,78.6
1,2021/2022,9,PDS502,8.5,18,10,10,15,15,51.5,17,16,33,84.5,A,1,1,1,1,0,1,1,1,1,1,1,1,1,1,13,92.9
1,2021/2022,9,PDS503,10.0,14,8,8,14,14,46.0,15,9,24,70.0,B+,0,1,1,1,0,1,1,1,0,1,1,1,1,1,11,78.6
1,2021/2022,9,PDS504,8.0,17,10,10,16,16,51.0,12,15,27,78.0,A-,1,1,1,1,1,1,1,1,0,1,1,1,1,1,13,92.9
